Var1,Var2,Var3,Var4,Var5
144.972441878226,-37.826775833076,1544,4,443.357142857143
144.985433186585,-37.835050588557,1611,3,1244.28571428571
144.983526457344,-37.837856941171,1627,6,733
144.979689127679,-37.835082793194,1635,3,1618.71428571429
144.978580422497,-37.835794288314,1698,6,897
144.987725606431,-37.830837253197,1708,5,6007.35714285714
144.984522102184,-37.830615424861,1726,6,1139.35714285714
144.984522102184,-37.830615424861,1732,7,309.785714285714
144.953170249716,-37.796944630061,1738,2,67.6428571428571
144.953230968732,-37.79630491353,1746,4,511.5
144.957288634897,-37.795593934866,1760,7,284.642857142857
144.95255611024,-37.795626693858,1772,3,1585.57142857143
144.95255611024,-37.795626693858,1778,2,54
144.954016543579,-37.79499186125,1784,7,416.714285714286
144.953854475998,-37.79460542073,1798,7,317.5
144.955710902888,-37.794098357958,1804,7,377.5
144.957484570174,-37.794372724816,1818,8,114.928571428571
144.956661270291,-37.793504075257,1828,4,453.428571428571
144.956661270291,-37.793504075257,1834,4,572.571428571428
144.956627270205,-37.792881270777,1862,4,470.5
144.957625636283,-37.781432566192,1923,6,993.214285714286
144.9575410596,-37.781702719557,1933,5,6097.6875
144.958402400079,-37.779840994137,1954,8,78.2142857142857
144.979085393848,-37.816835858828,2023,7,307.75
144.944586381493,-37.815084288962,2031,5,3096.14285714286
144.961103765531,-37.791585400807,2037,1,598.714285714286
144.957175509314,-37.796895038181,2154,7,412
144.946093047649,-37.808105620281,2162,8,162.857142857143
144.98455990866,-37.830434198409,2174,6,1250.78571428571
144.981909545184,-37.836576285184,2180,5,3540.71428571429
144.980111968306,-37.836287891916,2189,5,4995.92857142857
144.945324232962,-37.819539517613,2242,8,223.071428571429
144.945324232962,-37.819539517613,2259,8,256.428571428571
144.950151000666,-37.822280091323,2276,3,3166.57142857143
144.93252800217,-37.791089482017,2347,8,136.857142857143
144.931831970382,-37.794233861917,2355,5,4550.92857142857
144.930176600861,-37.79402303436,2365,8,208.357142857143
144.933356575316,-37.79038886601,2384,8,102.714285714286
144.933356575316,-37.79038886601,2394,8,241.428571428571
144.929972412608,-37.789753751245,2404,7,256.5
144.93068754898,-37.792667331353,2411,7,238.214285714286
144.93068754898,-37.792667331353,2476,5,3413.76923076923
144.926598612611,-37.79066494376,2541,3,1598.71428571429
144.93438225759,-37.790227993151,2557,4,576.928571428571
144.93438225759,-37.790227993151,2564,3,1002.57142857143
144.928690190506,-37.790644204721,2571,8,96
144.945459352101,-37.820055288814,2577,8,153.714285714286
144.931503529854,-37.790796952746,2591,5,3692.07142857143
144.931330334057,-37.792952601649,2597,3,1644.28571428571
144.935392017946,-37.79167834221,2774,6,1335.64285714286
144.935301043336,-37.792158897503,2780,3,1314.07142857143
144.935074946353,-37.793348777275,2790,6,916.642857142857
144.935074946353,-37.793348777275,2797,2,32.9285714285714
144.940487735675,-37.794534465704,2804,7,313.5
144.935529518604,-37.815791588529,2847,7,335.785714285714
144.935529518604,-37.815791588529,2859,5,3583.64285714286
