Var1,Var2,Var3,Var4,Var5
144.96846012002,-37.809399199941,1,5,3667.35714285714
144.964458578049,-37.810573966702,31,6,803.857142857143
144.9595225364,-37.812011998002,43,8,174.357142857143
144.972020511918,-37.810488599261,67,8,131.785714285714
144.969260976172,-37.811302568127,96,5,3566.71428571429
144.965913418866,-37.812381065777,128,1,637
144.971832496388,-37.812871749934,164,3,1480.71428571429
144.970334035579,-37.813204591547,196,8,122.285714285714
144.966215952343,-37.814415960614,225,4,524.428571428571
144.974262753849,-37.814408010739,249,4,624.285714285714
144.97041452369,-37.815417332583,266,8,177
144.968457926897,-37.816003792078,288,7,304.5
144.957309591974,-37.819432075593,294,6,850.428571428571
144.972481640437,-37.815831829505,309,6,910.214285714286
144.962943296261,-37.814172264835,319,8,159.285714285714
144.962700037422,-37.812852630489,325,5,3674.64285714286
144.960121002286,-37.819430244601,333,5,6241.14285714286
144.956671089947,-37.812712247678,339,7,344.428571428571
144.95720715274,-37.820010133692,345,6,1271.07142857143
144.97462419149,-37.815208782902,361,4,517.733333333333
144.957892562294,-37.819263312099,375,6,1029.42857142857
144.956624820021,-37.820181293762,399,1,651.107142857143
144.959929986811,-37.805364578833,413,5,5582.64285714286
144.966435171545,-37.795892555653,421,5,5568.21428571429
144.966222419632,-37.795113098379,434,5,7150.21428571429
144.968643684219,-37.798496161275,443,3,1264.64285714286
144.968747650304,-37.8067463194,456,7,372.071428571429
144.969387175266,-37.802989690946,464,4,540.857142857143
144.970564245631,-37.796155881737,471,5,4723.07142857143
144.974203018234,-37.795448867647,477,4,647.214285714286
144.974434257096,-37.795476178448,487,4,521.714285714286
144.97059085093,-37.797980832419,498,2,6.07142857142857
144.971859269157,-37.798672243739,509,6,1061.78571428571
144.974168199704,-37.801107593117,527,3,1767.5
144.969341164027,-37.796509693483,533,3,2303.14285714286
144.971327468522,-37.796513109093,549,3,2909.57142857143
144.958733797024,-37.799712607554,568,5,4077.28571428571
144.955825104398,-37.803879374275,574,3,2261.42857142857
144.954453372742,-37.803724972983,583,7,317.928571428571
144.955355911237,-37.805673577883,591,4,563.5
144.948408921847,-37.804318912475,597,6,1239.82142857143
144.947348836248,-37.802943324083,620,6,1072.92857142857
144.944428158935,-37.802615817883,633,8,120.428571428571
144.942603598217,-37.802420611384,649,8,159.5
144.94226338266,-37.802380520508,655,4,462.357142857143
144.946168170039,-37.801795486091,663,6,779.892857142857
144.952754037244,-37.801415549846,680,5,3719.78571428571
144.955726653869,-37.800589346455,693,5,3397.71428571429
144.94611879748,-37.798296265045,716,5,4662.35714285714
144.943324404585,-37.796111239752,722,1,789.785714285714
144.9425504927,-37.796309109314,744,3,1349.28571428571
144.942765997701,-37.794486228399,780,3,3366.71428571429
144.93194193975,-37.79455633981,807,3,1315.07142857143
